HOUR,GEN_YESTERDAY
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1228.422664916574
7,5543.801369513876
8,11032.563385650757
9,15705.737622663637
10,18886.34840283712
11,21206.90938109695
12,20972.925589712308
13,19983.714093433846
14,17098.213197411653
15,13926.080442381563
16,8757.66897786328
17,3772.9223662925383
18,461.4104139603712
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
